timestamp;strom_tag;strom_nacht;gas;wasser;Datum;Bemerkung;Mittagstemperatur am Vortag;zeitdifferenz
2020-11-01T10:00:00Z;4334;8826;10957,00;353,86;NA;RÃ¼ckgerechnet aus Abrechnung Q4;NA;NA
2020-12-23T11:09:41Z;4466;9004;11156,20;359,10;2020-12-23T00:00:00Z;NA;12;NA
2020-12-24T12:36:32Z;4471;9006;11158,49;359,20;NA;NA; 6;NA
2020-12-25T10:45:25Z;4475;9009;11161,56;359,30;NA;NA; 1;NA
2020-12-26T05:46:57Z;4479;9012;11164,35;359,48;NA;abwesend am 26., HK abgestellt;-2;NA
2020-12-27T10:57:57Z;4479;9015;11165,67;359,48;NA;NA;-1;NA
2020-12-28T07:37:40Z;4479;9020;11171,81;359,55;NA;NA; 0;NA
2020-12-29T07:47:50Z;4483;9023;11177,55;359,67;NA;NA; 2;NA
2020-12-30T07:04:31Z;4487;9025;11182,20;359,73;NA;NA; 3;NA
2020-12-31T07:42:17Z;4493;9027;11187,42;359,86;NA;abwesend ab 31.12. 15 Uhr, HK aus; 1;NA
2021-01-02T07:29:19Z;4497;9031;11190,45;359,92;NA;NA; 0;NA
2021-01-03T07:41:39Z;4497;9039;11192,19;360,02;NA;NA;-1;NA
2021-01-04T07:19:45Z;4497;9045;11199,57;360,09;NA;NA;-1;NA
2021-01-05T07:35:31Z;4504;9050;11207,57;360,42;NA;NA;-1;NA
2021-01-06T07:55:04Z;4511;9053;11214,49;360,68;NA;NA; 0;NA
2021-01-07T07:11:27Z;4514;9055;11219,80;360,86;NA;NA; 0;NA
2021-01-08T07:34:28Z;4518;9058;11224,11;360,95;NA;NA; 0;NA
2021-01-09T05:53:53Z;4521;9061;11227,99;361,03;NA;NA;-3;NA
2021-01-10T06:32:41Z;4521;9064;11229,67;361,06;NA;HK Ferien ab letztem Datum, WW um drei Grad aufgeheizt;-4;NA
2021-01-11T08:01:23Z;4521;9072;11236,31;361,13;NA;NA;-3;NA
2021-01-12T07:04:56Z;4527;9074;11241,62;361,29;NA;NA;-3;NA
2021-01-13T07:41:55Z;4533;9077;11246,93;361,42;NA;NA;-2;NA
2021-01-14T07:09:55Z;4537;9079;11250,83;361,52;NA;NA; 3;NA
2021-01-15T06:55:59Z;4541;9081;11255,20;361,72;NA;NA; 0;NA
2021-01-16T07:41:47Z;4545;9084;11260,57;361,77;NA;NA;-2;NA
2021-01-17T07:30:00Z;4545;9092;11266,05;361,91;NA;NA;-5;NA
2021-01-18T07:14:04Z;4546;9105;11270,57;361,99;NA;NA; 0;NA
2021-01-19T08:02:01Z;4551;9107;11275,43;362,06;NA;NA; 0;NA
2021-01-20T08:00:14Z;4555;9109;11280,03;362,15;NA;NA; 0;NA
2021-01-21T07:44:16Z;4559;9112;11284,22;362,38;NA;NA; 5;NA
2021-01-22T07:53:16Z;4565;9114;11287,57;362,45;NA;NA;10;NA
2021-01-23T08:02:57Z;4569;9118;11290,30;362,55;NA;NA;NA;NA
2021-01-24T08:33:10Z;4569;9127;11294,08;362,63;NA;NA;NA;NA
2021-01-25T08:08:41Z;4569;9134;11297,60;362,77;NA;NA;NA;NA
2021-01-26T07:46:54Z;4573;9137;11301,70;362,89;NA;NA;NA;NA
2021-01-27T08:09:36Z;4577;9139;11305,94;362,99;NA;NA;NA;NA
2021-01-28T07:49:48Z;4581;9143;11310,26;363,12;NA;NA;NA;NA
2021-01-29T07:58:53Z;4585;9145;11313,18;363,20;NA;NA;NA;NA
2021-01-30T07:35:02Z;4589;9148;11315,83;363,29;NA;NA;NA;NA
2021-01-31T07:54:50Z;4589;9154;11318,74;363,37;NA;NA;NA;NA
2021-02-01T07:15:35Z;4589;9163;11321,76;363,55;NA;NA;NA;NA
2021-02-02T05:56:13Z;4593;9166;11324,71;363,69;NA;NA;NA;NA
2021-02-03T07:49:03Z;4595;9169;11328,02;363,77;NA;NA;NA;NA
2021-02-04T08:06:55Z;4601;9171;11331,60;363,96;NA;airbnb;NA;NA
2021-02-05T07:24:51Z;4605;9174;11334,81;364,16;NA;airbnb;NA;NA
2021-02-06T07:41:11Z;4609;9177;11337,47;364,41;NA;airbnb;NA;NA
2021-02-07T08:45:33Z;4609;9187;11340,55;364,59;NA;NA;NA;NA
2021-02-08T07:37:36Z;4609;9193;11343,61;364,69;NA;NA;NA;NA
2021-02-09T07:49:20Z;4614;9195;11346,98;364,78;NA;NA;NA;NA
2021-02-10T07:51:42Z;4619;9197;11351,12;365,01;NA;NA;NA;NA
2021-02-11T07:43:22Z;4624;9201;11355,58;365,11;NA;NA;NA;NA
2021-02-12T07:57:59Z;4628;9203;11362,01;365,23;NA;NA;NA;NA
2021-02-13T07:46:17Z;4631;9206;11368,51;365,36;NA;NA;NA;NA
2021-02-14T07:51:16Z;4631;9215;11375,73;365,45;NA;NA;NA;NA
2021-02-15T07:43:35Z;4631;9221;11381,89;365,55;NA;NA;NA;NA
2021-02-16T07:37:29Z;4635;9224;11386,55;365,65;NA;NA;NA;NA
2021-02-17T07:30:48Z;4639;9226;11389,65;365,79;NA;NA;NA;NA
2021-02-18T07:35:21Z;4642;9229;11390,45;365,90;NA;NA;NA;NA
2021-02-19T07:19:23Z;4647;9232;11391,00;366,08;NA;NA;NA;NA
